1.739673 3.475385e+02 1.997723e+02 -6.522061e-09
1.740160 3.679680e+02 2.114564e+02 -6.704071e-09
1.740620 3.895924e+02 2.238240e+02 -6.892425e-09
1.741054 4.124815e+02 2.369148e+02 -7.087108e-09
1.741465 4.367094e+02 2.507713e+02 -7.288141e-09
1.741852 4.623542e+02 2.654382e+02 -7.495574e-09
1.742219 4.894990e+02 2.809630e+02 -7.709483e-09
1.742565 5.182314e+02 2.973958e+02 -7.929965e-09
1.742892 5.486443e+02 3.147896e+02 -8.157137e-09
1.743201 5.808359e+02 3.332008e+02 -8.391132e-09
1.743493 6.149104e+02 3.526889e+02 -8.632098e-09
1.743768 6.509777e+02 3.733167e+02 -8.880196e-09
1.744029 6.891546e+02 3.951509e+02 -9.135597e-09
1.744275 7.295643e+02 4.182623e+02 -9.398487e-09
1.744507 7.723375e+02 4.427253e+02 -9.669058e-09
1.744727 8.176123e+02 4.686191e+02 -9.947513e-09
1.744934 8.655352e+02 4.960273e+02 -1.023407e-08
1.745130 9.162609e+02 5.250386e+02 -1.052894e-08
1.745316 9.699534e+02 5.557467e+02 -1.083236e-08
1.745491 1.026786e+03 5.882508e+02 -1.114457e-08
1.745656 1.086943e+03 6.226560e+02 -1.146581e-08
1.745812 1.150618e+03 6.590735e+02 -1.179634e-08
1.745960 1.218018e+03 6.976209e+02 -1.213642e-08
1.746099 1.289359e+03 7.384229e+02 -1.248633e-08
1.746231 1.364873e+03 7.816112e+02 -1.284634e-08
1.746355 1.444804e+03 8.273255e+02 -1.321674e-08
1.746473 1.529410e+03 8.757136e+02 -1.359784e-08
1.746584 1.618964e+03 9.269317e+02 -1.398993e-08
1.746689 1.713755e+03 9.811454e+02 -1.439333e-08
1.746722 1.746238e+03 9.997230e+02 -1.452899e-08
