0.000000e+00 1 4.620907e-12
6.283185e-01 26 3.618293e+08
1.256637e+00 66 6.296375e+08
1.884956e+00 158 6.892384e+08
2.513274e+00 234 8.396328e+08
3.141593e+00 410 9.075000e+08
3.769911e+00 470 9.158704e+08
4.398230e+00 738 9.498050e+08
5.026548e+00 866 8.908687e+08
5.654867e+00 1170 9.250546e+08
6.283185e+00 1358 8.771959e+08
6.911504e+00 1626 8.843831e+08
7.539822e+00 1970 7.707570e+08
8.168141e+00 2366 7.327629e+08
8.796459e+00 2538 6.796464e+08
9.424778e+00 3074 6.335362e+08
1.005310e+01 3306 5.645338e+08
1.068142e+01 3926 5.246780e+08
1.130973e+01 4242 4.593272e+08
1.193805e+01 4826 4.269653e+08
1.256637e+01 5270 4.036284e+08
1.319469e+01 5754 3.535943e+08
1.382301e+01 6338 3.242992e+08
1.445133e+01 7014 2.930491e+08
1.507964e+01 7370 2.690835e+08
1.570796e+01 8330 2.392375e+08
1.633628e+01 8754 2.108143e+08
1.696460e+01 9710 1.938253e+08
1.759292e+01 9858 1.844867e+08
1.822124e+01 11162 1.642152e+08
1.884956e+01 11358 1.515295e+08
1.947787e+01 12770 1.384089e+08
2.010619e+01 13106 1.255451e+08
2.073451e+01 14250 1.161314e+08
2.136283e+01 14894 1.038686e+08
2.199115e+01 15858 9.575893e+07
2.261947e+01 16706 8.828190e+07
2.324779e+01 17550 8.276313e+07
2.387610e+01 18626 7.563210e+07
2.450442e+01 19682 6.970429e+07
2.513274e+01 20382 6.400517e+07
2.576106e+01 21794 6.032774e+07
2.638938e+01 22602 5.664193e+07
2.701770e+01 24050 5.342100e+07
2.764602e+01 24846 4.967342e+07
2.827433e+01 26042 4.747619e+07
2.890265e+01 26810 4.449395e+07
2.953097e+01 28494 4.167258e+07
3.015929e+01 29426 3.968465e+07
3.078761e+01 30978 3.776191e+07
3.141593e+01 31826 3.622533e+07
3.204425e+01 33758 3.407809e+07
3.267256e+01 34386 3.268523e+07
3.330088e+01 36314 3.089040e+07
3.392920e+01 36678 2.995900e+07
3.455752e+01 39146 2.873209e+07
3.518584e+01 39882 2.751405e+07
3.581416e+01 41258 2.628640e+07
3.644247e+01 43310 2.556256e+07
3.707079e+01 44226 2.440863e+07
3.769911e+01 46370 2.397788e+07
3.832743e+01 47334 2.319344e+07
3.895575e+01 48770 2.238787e+07
3.958407e+01 51498 2.183026e+07
4.021239e+01 50135 2.097846e+07
4.084070e+01 51092 1.938147e+07
4.146902e+01 48564 1.853734e+07
4.209734e+01 48608 1.719123e+07
4.272566e+01 47508 1.630638e+07
4.335398e+01 46160 1.540913e+07
4.398230e+01 45000 1.452917e+07
4.461062e+01 44144 1.401288e+07
4.523893e+01 42716 1.345416e+07
4.586725e+01 42060 1.285069e+07
4.649557e+01 39896 1.231335e+07
4.712389e+01 39504 1.187874e+07
4.775221e+01 36908 1.140921e+07
4.838053e+01 36056 1.089152e+07
4.900885e+01 34740 1.063890e+07
4.963716e+01 32852 1.038758e+07
5.026548e+01 31260 1.004899e+07
5.089380e+01 29540 9.753796e+06
5.152212e+01 28404 9.313088e+06
5.215044e+01 26144 9.170428e+06
5.277876e+01 24476 8.979060e+06
5.340708e+01 22524 8.657164e+06
5.403539e+01 20372 8.352311e+06
5.466371e+01 19200 8.134787e+06
5.529203e+01 16328 7.802007e+06
5.592035e+01 14784 7.629838e+06
5.654867e+01 12653 7.269764e+06
5.717699e+01 10766 6.920836e+06
5.780530e+01 9282 6.841776e+06
5.843362e+01 8252 6.441109e+06
5.906194e+01 7158 6.140027e+06
5.969026e+01 6086 6.318290e+06
6.031858e+01 4910 5.991259e+06
6.094690e+01 4686 5.826205e+06
6.157522e+01 3638 5.896226e+06
6.220353e+01 3048 5.527359e+06
6.283185e+01 2456 5.517135e+06
6.346017e+01 2190 5.439883e+06
6.408849e+01 1664 5.414382e+06
6.471681e+01 1100 5.352398e+06
6.534513e+01 816 5.890678e+06
6.597345e+01 728 5.457637e+06
6.660176e+01 456 5.182533e+06
6.723008e+01 218 5.331418e+06
6.785840e+01 96 5.663401e+06
6.848672e+01 56 4.134010e+06
6.911504e+01 7 2.920159e+06

